iteration,model,winner_aic,winner_bic,simulated_params,recovered_params
0,piece,piece,piece,[4.47074269 0.30671819 0.48529149],[3.53314758 0.01984178 0.57787566]
0,pea,pea,pea,[8.70390926 0.28807626 0.2040999 ],[7.38233867 0.25149955 0.31737908]
0,premo,pea,pea,[ 0.06946386 13.21438595  7.80111249 21.24838873  1.          0.38579907],[ 0.11142709 13.22342831 12.94114066 11.75475339  0.92748803  0.39727983]
0,rem,rem,rem,[6.25669719 3.59945829 0.33161596 1.81357994],[11.90954415  4.25259804  2.19901466  0.19240606]
1,piece,piece,piece,[4.36219626 1.10539112 1.245271  ],[6.24527228 0.78397132 1.26883194]
1,pea,pea,pea,[9.32215318 0.15467366 1.36007402],[13.3525637   0.18378456  1.445159  ]
1,premo,premo,premo,[ 0.85426921 22.23066882 17.83745018 23.88867158  1.          1.43610285],[ 0.88639117 13.66451646 12.52864942 11.33331872  1.          1.46899907]
1,rem,rem,rem,[ 7.86750297  3.88512688  2.29668373 -0.30003371],[ 6.94712131  2.13637956  0.85980316 -0.24941935]
2,piece,piece,piece,[5.71549111 0.46174509 0.12347245],[6.69571593 0.37598481 0.07079921]
2,pea,pea,pea,[6.65181142 0.3454077  1.61235115],[13.20964397  0.29610112  1.68230083]
2,premo,premo,premo,[ 0.76495777 22.48274631 17.19479439 17.62768232  1.          1.21075122],[ 0.47869824 12.04921934 15.65436466  4.751158    1.          1.27151639]
2,rem,pea,pea,[24.19008051  2.35873761  2.96910849  0.1997616 ],[25.          0.58802945  0.          0.17888651]
3,piece,piece,piece,[4.36444841 0.03871877 1.23249632],[4.7174567  0.80559734 1.1512782 ]
3,pea,pea,pea,[21.98475651  0.22302796  1.36826   ],[13.39446523  0.23947771  1.35620797]
3,premo,premo,premo,[ 0.31690066 18.94428049  4.42869336  9.83107866  1.         -0.34418157],[ 0.66777745 12.15386754 12.51594443 12.88681047  1.         -0.42751098]
3,rem,pea,pea,[14.95367813  3.32029773  6.75089347  1.10803674],[13.47228998  2.42527013  4.89603875  1.13691196]
4,piece,piece,piece,[ 5.36186241  0.34699798 -0.48001225],[ 6.0467879   0.41462629 -0.39289249]
4,pea,pea,pea,[ 2.57343031  0.32195401 -0.59901109],[ 2.45232939  0.31229809 -0.61954796]
4,premo,pea,pea,[ 0.92564994  1.177639   12.36559304  0.95214084  1.          0.87832237],[ 0.24624874 11.60981891 12.50212112 13.47078643  0.          0.97359174]
4,rem,pea,pea,[24.29617088  4.12030981  6.83517071  1.30120275],[13.59356065  3.01234784  4.42629704  1.46477647]
