iteration,model,winner_aic,winner_bic,simulated_params,recovered_params
0,piece,piece,piece,[5.21370162 0.31336516 1.79195444],[7.64230064 0.42619665 1.82131249]
0,pea,pea,pea,[5.07045944 0.48585771 0.62351142],[5.27053633 0.4769333  0.56083311]
0,premo,premo,premo,[ 0.92934141  2.35932772  4.12755131  2.82932014  1.         -0.48902887],[ 1.          4.72692121  2.28277418  7.45644109  0.88568529 -0.54027115]
0,rem,rem,rem,[3.30717414 1.45918288 2.93617882 1.10630416],[8.18805729e-01 2.98143930e-01 6.22877847e-07 1.11952865e+00]
1,piece,piece,piece,[5.99767745 0.79276578 0.473025  ],[4.99832563 0.41001334 0.43171935]
1,pea,pea,pea,[2.65333004 0.30744742 1.99846288],[5.56228079 0.15775624 2.014073  ]
1,premo,premo,pea,[0.16802906 1.78898446 9.1159422  8.03523371 1.         1.87573845],[1.         2.38649006 3.80402508 7.75852379 1.         1.88414127]
1,rem,pea,pea,[5.16509063 1.40381226 1.66497451 0.15768041],[5.05491889 2.99854646 4.40472257 0.13152468]
2,piece,piece,piece,[6.18088937 1.34507364 0.72211632],[7.53382726 1.18198072 0.71418444]
2,pea,pea,pea,[4.8419446  0.25474382 2.04731659],[2.84746144 0.32472891 1.9978171 ]
2,premo,premo,premo,[0.35713099 6.46935816 2.68172643 5.20021882 1.         1.46938413],[ 0.4934069   0.09943559 10.          0.08945377  0.97596808  1.53676954]
2,rem,rem,pea,[1.68291136 3.51424361 6.87010888 0.25422063],[1.67662236 2.34273728 6.45714476 0.25765511]
3,piece,piece,piece,[ 3.73835446  0.34858741 -0.14805404],[ 3.54918757  0.6457828  -0.19921272]
3,pea,pea,pea,[3.04148081 0.46729477 0.56720196],[7.86862177 0.33614885 0.66050776]
3,premo,premo,premo,[ 0.83326754  6.06525378  0.29248171  8.1536738   1.         -0.61691464],[ 0.85028349  8.83569121  7.47537546  0.01        0.95924735 -0.64250497]
3,rem,rem,pea,[2.9739547  1.29027654 7.10423433 1.55344575],[2.7267888  2.02983672 6.38744766 1.53772134]
4,piece,piece,piece,[ 5.04155337  1.32274751 -0.61005199],[ 6.33612683  0.67430756 -0.70406582]
4,pea,pea,pea,[ 4.62991965  0.46636166 -0.38393743],[ 3.84881012  0.48658208 -0.37000827]
4,premo,premo,pea,[0.29004734 5.75820782 7.24403694 7.89361688 1.         1.6393026 ],[0.72968972 3.25681615 4.98375027 6.03272698 0.78269651 1.64449386]
4,rem,pea,pea,[8.30563868 1.24619515 4.5335955  0.10590277],[10.          0.2899434   0.37910814  0.11463011]
5,piece,piece,piece,[5.43567572 0.28455509 0.82567297],[4.21482213 0.05436454 0.83038503]
5,pea,pea,pea,[2.2844554 0.2214126 1.1700169],[5.13100106 0.10520029 1.26875446]
5,premo,premo,premo,[0.8569894  5.74151643 8.12139327 9.54423512 1.         0.79406752],[1.         4.70041719 4.99288174 4.45484944 1.         0.79010039]
5,rem,rem,rem,[ 3.4331948   3.22766792  4.21278544 -0.07161328],[ 2.88879726  3.75018829  4.02364325 -0.01453613]
6,piece,piece,piece,[ 4.11312945  0.89186832 -0.29739936],[ 3.57351733  0.34108606 -0.29754883]
6,pea,pea,pea,[8.76225322 0.34796413 1.31593409],[9.46726313 0.37194597 1.42940507]
6,premo,premo,pea,[0.3250113  2.50269804 2.00262875 1.31159499 1.         0.32918949],[0.2525497  3.81888323 5.14029976 5.1403015  0.78006587 0.33015807]
