subj_num,model,theta,loglik,bic,delta_bic,piece_v_pea,piece_v_premo,piece_v_rem
1,pea,[10.          0.36381731  1.30064756],-2636.0979340059116,5293.515686425005,-214.36093040987544,-247.26054410345114,-461.6214745133266,-254.47186428045825
1,premo,[0.924575   3.15558839 0.99138054 5.2033649  1.         1.0332563 ],-2732.618490004258,5507.87661683488,0.0,-247.26054410345114,-461.6214745133266,-254.47186428045825
1,rem,[10.          0.46212942  0.34019152  1.30076367],-2636.1502910255513,5300.727006602012,-207.14961023286833,-247.26054410345114,-461.6214745133266,-254.47186428045825
1,piece,[5.98095171 0.2        1.00916519],-2512.467661954186,5046.255142321554,-461.6214745133266,-247.26054410345114,-461.6214745133266,-254.47186428045825
2,pea,[3.81228018 0.48715132 0.89635988],-2824.45285527672,5670.205792053328,-178.32660317885347,-238.29997236741383,-416.6265755462673,-245.67340596085705
2,premo,[0.99989793 0.37549165 0.49163288 0.85626347 1.         0.69613652],-2902.966116116203,5848.532395232181,0.0,-238.29997236741383,-416.6265755462673,-245.67340596085705
2,rem,[7.01707042 3.7484897  8.83424709 0.89713699],-2824.5895584901273,5677.579225646771,-170.95316958541025,-238.29997236741383,-416.6265755462673,-245.67340596085705
2,piece,[6.00387584 0.2        0.72010777],-2705.302869093013,5431.905819685914,-416.6265755462673,-238.29997236741383,-416.6265755462673,-245.67340596085705
3,pea,[2.84792744 0.2145148  2.06669227],-2578.4655786676376,5178.2558897544695,-37.59584627737604,-131.73841171411004,-169.33425799148608,-130.45806977565462
3,premo,[0.99774911 0.05703154 0.109437   0.21605473 1.         1.95864228],-2586.601135596728,5215.851736031846,0.0,-131.73841171411004,-169.33425799148608,-130.45806977565462
3,rem,[1.87433293e+00 1.34545719e-01 4.32084537e-04 2.07083504e+00],-2574.271285628544,5176.975547816014,-38.87618821583146,-131.73841171411004,-169.33425799148608,-130.45806977565462
3,piece,[3.60754452 1.40483735 1.8433497 ],-2512.5963728105826,5046.5174780403595,-169.33425799148608,-131.73841171411004,-169.33425799148608,-130.45806977565462
4,pea,[5.29322046 0.2592037  0.21865365],-2423.7927541473655,4868.907784717063,-93.73001574851696,-140.57634737929038,-234.30636312780734,-146.93344196224098
4,premo,[0.02149278 7.50932336 1.95790493 3.75601275 1.         0.18811404],-2459.996623810458,4962.63780046558,0.0,-140.57634737929038,-234.30636312780734,-146.93344196224098
4,rem,[6.62075556 1.98027871 6.98904454 0.21832751],-2423.4175887017855,4875.2648793000135,-87.37292116556637,-140.57634737929038,-234.30636312780734,-146.93344196224098
4,piece,[4.58392405 0.2        0.18617462],-2353.5045804577203,4728.3314373377725,-234.30636312780734,-140.57634737929038,-234.30636312780734,-146.93344196224098
5,pea,[10.          0.20052884  0.62340972],-2609.2146796539773,5239.756545715016,-97.29865458469885,-178.35713754229073,-275.6557921269896,-185.28311691047838
