subj_num,model,theta,loglik,bic,delta_bic
1,pea,[9.33942614 0.36207192 1.29827604],-2650.9463567087446,5323.229695751622,-209.50343964276635
1,premo,"[8.43871781e-01 1.67662335e+01 1.00000000e-02 2.50000000e+01
 1.00000000e+00 1.04349046e+00]",-2745.0295853630614,5532.733135394388,0.0
1,rem,[14.20756791  3.57105219  9.30544566  1.29836235],-2650.9736606073184,5330.39663099348,-202.33650440090787
1,piece,[5.95529168 0.2        1.01071229],-2526.6125618274027,5074.562105988938,-458.1710294054501
2,pea,[3.76251573 0.49892218 0.89640091],-2854.63126352035,5730.599509374832,-186.2819917046627
2,premo,"[3.54154681e-01 2.50000000e+01 1.00000000e-02 2.50000000e+01
 1.00000000e+00 7.03281687e-01]",-2937.103768205615,5916.881501079495,0.0
2,rem,[6.93374267 4.2185207  9.83056599 0.89697687],-2854.731016188567,5737.911342155978,-178.97015892351737
2,piece,[5.99192477 0.2        0.71971262],-2734.227559225864,5489.79210078586,-427.08940029363475
3,pea,[2.91760503 0.20212048 2.0554768 ],-2590.6060290341893,5202.549040402511,-36.10811235249639
3,premo,[0.215118   0.10104741 0.01       0.15511603 1.         1.95206275],-2597.991594043371,5238.657152755008,0.0
3,rem,[1.52181308e+00 1.34136916e-01 1.20101853e-05 2.06846145e+00],-2586.215888462883,5200.8810867046095,-37.776066050398185
3,piece,[3.60770148 1.40325506 1.83836642],-2524.1269540780713,5069.590890490275,-169.06626226473236
4,pea,[5.56261013 0.25006573 0.21482837],-2433.3698416370057,4888.076665608144,-92.7739578149567
4,premo,[ 0.20657963  2.62918374  1.72949778 11.02664881  1.          0.18572486],-2469.0883293774177,4980.850623423101,0.0
4,rem,[6.85392562 1.83032249 6.60632287 0.214514  ],-2433.0387173500726,4894.526744478989,-86.32387894411204
4,piece,[4.53565225 0.2        0.18359067],-2362.6963733505013,4746.729729035135,-234.12089438796556
5,pea,[18.09102791  0.18944575  0.62380808],-2615.0908200167587,5251.51862236765,-97.94711580840703
5,premo,[0.44755505 1.02061763 2.28479489 2.48461811 1.         0.53197287],-2653.395886753896,5349.465738176057,0.0
5,rem,[17.69728085  0.67301422  2.5496258   0.6237829 ],-2615.0804003143353,5258.610110407514,-90.85562776854294
5,piece,[4.95476193 0.39347838 0.50658909],-2525.1112610601444,5071.559504454422,-277.90623372163554
6,pea,[14.95190341  0.26090556  0.51455566],-2763.2109630414116,5547.758908416956,-215.598639327196
6,premo,[0.13200987 1.44051776 0.50471658 0.60388776 1.         0.3858195 ],-2860.341791537943,5763.357547744152,0.0
6,rem,[17.7230842   0.72086855  1.80393055  0.51455647],-2763.209438357687,5554.868186494217,-208.48936124993452
6,piece,[6.01119219 0.67986129 0.41433504],-2605.605324556832,5232.547631447796,-530.8099162963554
7,pea,[10.378554    0.25506362  0.61233815],-2830.901676417187,5683.140335168507,-142.9808190678923
7,premo,[0.998743   0.04452166 0.0360087  0.13627233 1.         0.48627394],-2891.723594784067,5826.121154236399,0.0
7,rem,[12.2259663   1.46830529  4.81817954  0.61193343],-2830.783064831947,5690.015439442737,-136.10571479366172
7,piece,[5.79673538 0.5537896  0.49125986],-2712.193645106871,5445.7242725478745,-380.39688168852445
8,pea,[5.95713546 0.38806547 1.82661305],-2496.178424233287,5013.693830800707,-145.06616091069554
8,premo,[ 0.5928632  25.         25.         25.          1.          1.59386964],-2558.0430135215684,5158.759991711402,0.0
8,rem,[9.80905629 3.83107389 9.99801555 1.82690079],-2496.2881273169414,5021.025564412726,-137.73442729867566
8,piece,[5.28575328 0.2        1.42792752],-2412.3303822924745,4845.997746919082,-312.7622447923204
9,pea,[2.04214217 0.47476942 2.03517086],-3360.7839786342424,6742.904939602618,-66.23407367665368
9,premo,[0.13696319 0.16131288 0.23190453 0.23190491 1.         1.86297708],-3383.232524305503,6809.139013279271,0.0
9,rem,[2.93430574 0.20816137 0.03074889 2.04557262],-3356.662711055238,6741.77473188932,-67.36428138995143
9,piece,[5.71137662 0.2        1.77852999],-3209.125084081985,6439.587150498102,-369.5518627811689
10,pea,[17.03180999  0.21795196  0.86932194],-2698.6159314574875,5418.568845249108,-88.56740254552551
10,premo,[0.12450291 3.16842252 4.82000478 1.9167345  1.         0.73467566],-2732.231141563184,5507.136247794633,0.0
10,rem,[25.          2.07582925  8.65472054  0.86930947],-2698.6167743280894,5425.682858435022,-81.45338935961081
10,piece,[5.6716183  0.2        0.70520573],-2613.8298636457334,5248.9967096256,-258.1395381690336
11,pea,[9.30671206 0.31151461 1.69823595],-2856.135272051107,5733.607526436347,-175.89853229186338
11,premo,[0.27220155 1.7433521  3.65231618 0.93549539 1.         1.46244051],-2933.4160470299726,5909.5060587282105,0.0
11,rem,[12.97374035  1.22981344  3.1213012   1.69840634],-2856.1212214368684,5740.69175265258,-168.81430607563016
11,piece,[6.12224773 0.2        1.34501322],-2702.4206706405002,5426.178323615133,-483.3277351130773
12,pea,[10.44448258  0.30290775  0.40938222],-2315.8751744686474,4653.0873312714275,-292.42336005151174
12,premo,[ 0.29113485 25.          0.0363439  25.          1.          0.30473271],-2451.418363327337,4945.510691322939,0.0
12,rem,[10.93679283  2.12166899  6.02596458  0.40921276],-2315.700697033386,4659.8507038456155,-285.65998747732374
12,piece,[5.05504517 0.45981442 0.3358835 ],-2191.2757493468775,4403.888481027888,-541.6222102950514
13,pea,[25.          0.12691194  1.31456749],-2608.4584853081597,5238.253952950452,-56.92575891192428
13,premo,[ 0.98096455  5.17070986  8.42176301 22.33063211  1.          1.2084064 ],-2626.2528735970554,5295.179711862376,0.0
13,rem,[19.93127098  0.17077209  0.35411484  1.31456349],-2608.454583917799,5245.358477614442,-49.821234247934626
13,piece,[4.21502142 0.2        1.14509646],-2467.5273083567827,4956.391599047698,-338.78811281467824
14,pea,[ 7.58152952  0.23684626 -0.78813595],-3016.9014389115764,6055.1398601572855,-53.63285849650947
14,premo,[ 0.84138879  0.098315    0.04251869  0.31803616  1.         -0.80242478],-3033.049376992765,6108.772718653795,0.0
14,rem,[16.29866746  2.30751217 10.         -0.78824637],-3016.968403762343,6062.386117303529,-46.386601350265664
