subj_num,model,theta,loglik,bic,delta_bic
1,pea,[9.33720162 0.36208832 1.29827935],-2650.9463566919667,5323.229695718066,-209.50344036016577
1,premo,"[8.43812423e-01 1.67675379e+01 1.00000000e-02 2.50000000e+01
 1.00000000e+00 1.04351902e+00]",-2745.029585704983,5532.733136078232,0.0
1,rem,[14.10828798  3.12010604  8.00477179  1.29835208],-2650.974199768316,5330.397709315475,-202.33542676275647
1,piece,[5.95531834 0.2        1.01071632],-2526.6125618330193,5074.562106000171,-458.17103007806054
1,piece_variant,[5.95529551 0.2        1.01071062],-2526.61256182817,5074.562105990472,-458.1710300877594
2,pea,[3.76249457 0.49892405 0.8964009 ],-2854.631263520856,5730.599509375845,-187.23323928545688
2,premo,[ 0.20386477 13.0257873   1.14790062  6.37854807  1.          0.70172946],-2937.579391996518,5917.832748661302,0.0
2,rem,[6.92847073 4.11858941 9.57524081 0.89699259],-2854.731183064683,5737.91167590821,-179.92107275309172
2,piece,[ 5.52031816 16.00497458  0.7325376 ],-2765.187774909984,5551.712532154101,-366.1202165072009
2,piece_variant,[5.99189762 0.2        0.71970597],-2734.227559234034,5489.7921008022,-428.0406478591012
3,pea,[2.91776983 0.20211334 2.0554884 ],-2590.6060290568203,5202.549040447773,-36.90917350832024
3,premo,[ 0.13250207 11.44847826 11.81857646 11.81841361  1.          1.95455599],-2598.392124643914,5239.4582139560935,0.0
3,rem,[1.89739352e+00 1.31837213e-01 4.91301688e-04 2.07061975e+00],-2586.4740021648677,5201.397314108579,-38.06089984751452
3,piece,[3.60769623 1.40326167 1.83836679],-2524.1269540781386,5069.59089049041,-169.8673234656835
3,piece_variant,[ 3.45006401 20.30423097  1.85443769],-2526.7178253803268,5074.772633094786,-164.68558086130724
4,pea,[5.5619787  0.25007419 0.21482653],-2433.369841660123,4888.076665654378,-93.20314126974972
4,premo,[ 0.14429877  1.4443981  13.31924453  5.06549172  1.          0.18763013],-2469.3029211279313,4981.279806924128,0.0
4,rem,[6.43148023 0.95318286 2.96098023 0.21449483],-2433.0223799294954,4894.494069637834,-86.78573728629362
4,piece,[4.53566744 0.2        0.18359098],-2362.6963733498956,4746.729729033924,-234.5500778902042
4,piece_variant,[ 4.31066645 17.36463803  0.18911714],-2369.876712413393,4761.090407160918,-220.18939976320962
5,pea,[18.07072134  0.18947599  0.6238498 ],-2615.0908200585664,5251.518622451265,-98.34981823226735
5,premo,[ 0.34412325  8.9502809  18.5310019  18.53100221  1.          0.53309778],-2653.5972380076337,5349.868440683533,0.0
5,rem,[0.1222762  7.2447324  7.27671161 0.54727855],-2657.6068206302457,5343.662951039335,-6.205489644197769
5,piece,[4.95481435 0.39349757 0.50658949],-2525.1112610613336,5071.5595044568,-278.30893622673284
5,piece_variant,[ 4.43944704 12.76378366  0.53172321],-2536.4398992911865,5094.216780916506,-255.651659767027
6,pea,[14.92237508  0.26095154  0.51456039],-2763.2109630661635,5547.75890846646,-215.81983364241114
6,premo,[0.99999791 0.09832778 0.25190903 0.27821481 1.         0.39103863],-2860.4523887203027,5763.578742108871,0.0
6,rem,[20.59714792  2.06665327  7.03854371  0.51455519],-2763.209892379007,5554.869094536858,-208.70964757201273
6,piece,[6.01118985 0.67986247 0.41433548],-2605.605324556835,5232.547631447803,-531.0311106610679
6,piece_variant,[ 5.39011185 13.97276328  0.42848095],-2620.691093773973,5262.719169882079,-500.8595722267919
7,pea,[10.37947775  0.25506478  0.61233711],-2830.9016764291505,5683.140335192434,-142.98407192736886
7,premo,[1.         0.3516435  0.28694875 1.07520133 1.         0.4866198 ],-2891.7252212257686,5826.1244071198025,0.0
